round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
1,1819,2018-08-24,1,Bayern Munich,2.8,3,1,0.9,Hoffenheim,75000,Allianz Arena,Bastian Dankert
1,1819,2018-08-25,1,Wolfsburg,1.3,2,1,1.4,Schalke 04,26621,Volkswagen Arena,Patrick Ittrich
1,1819,2018-08-25,1,Hertha BSC,1.4,1,0,1.3,Nürnberg,52729,Olympiastadion Berlin,Tobias Welz
1,1819,2018-08-25,1,Werder Bremen,1.8,1,1,1,Hannover 96,42100,Weserstadion,Felix Brych
1,1819,2018-08-25,1,Freiburg,2,0,2,0.9,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe
1,1819,2018-08-25,1,Düsseldorf,1.3,1,2,1.3,Augsburg,40996,Merkur Spielarena,Markus Schmidt
1,1819,2018-08-25,1,M'Gladbach,4.1,2,0,1.4,Leverkusen,53087,Stadion im Borussia-Park,Christian Dingert
1,1819,2018-08-26,1,Mainz 05,1.1,1,0,1,Stuttgart,28705,Opel Arena,Daniel Siebert
1,1819,2018-08-26,1,Dortmund,1,4,1,1.6,RB Leipzig,80365,Signal Iduna Park,Deniz Aytekin
2,1819,2018-08-31,1,Hannover 96,0.8,0,0,0.7,Dortmund,49000,HDI-Arena,Felix Zwayer
2,1819,2018-09-01,1,Leverkusen,1.5,1,3,1.2,Wolfsburg,26247,BayArena,Sven Jablonski
2,1819,2018-09-01,1,Augsburg,1.1,1,1,1.1,M'Gladbach,29580,WWK Arena,Frank Willenborg
2,1819,2018-09-01,1,Eint Frankfurt,1.2,1,2,1.7,Werder Bremen,50000,Commerzbank-Arena,Sören Storks
2,1819,2018-09-01,1,Hoffenheim,3.5,3,1,2.7,Freiburg,28619,PreZero Arena,Robert Hartmann
2,1819,2018-09-01,1,Nürnberg,1.2,1,1,0.4,Mainz 05,37781,Max-Morlock-Stadion,Guido Winkmann
2,1819,2018-09-01,1,Stuttgart,0.2,0,3,1.8,Bayern Munich,58680,Mercedes-Benz Arena,Harm Osmers
2,1819,2018-09-02,1,RB Leipzig,1.8,1,1,1.2,Düsseldorf,34975,Red Bull Arena,Marco Fritz
2,1819,2018-09-02,1,Schalke 04,1.8,0,2,0.6,Hertha BSC,60181,Veltins-Arena,Sascha Stegemann
3,1819,2018-09-14,1,Dortmund,0.9,3,1,0.3,Eint Frankfurt,81000,Signal Iduna Park,Benjamin Cortus
3,1819,2018-09-15,1,Bayern Munich,1.3,3,1,0.8,Leverkusen,75000,Allianz Arena,Tobias Welz
3,1819,2018-09-15,1,Mainz 05,2.8,2,1,0.7,Augsburg,21105,Opel Arena,Martin Petersen
3,1819,2018-09-15,1,Düsseldorf,1.5,2,1,2.3,Hoffenheim,40111,Merkur Spielarena,Tobias Stieler
3,1819,2018-09-15,1,RB Leipzig,2.3,3,2,1.2,Hannover 96,38937,Red Bull Arena,Robert Kampka
3,1819,2018-09-15,1,Wolfsburg,2,2,2,0.8,Hertha BSC,25090,Volkswagen Arena,Christian Dingert
3,1819,2018-09-15,1,M'Gladbach,1.3,2,1,1.6,Schalke 04,54022,Stadion im Borussia-Park,Manuel Gräfe
3,1819,2018-09-16,1,Werder Bremen,0.7,1,1,1,Nürnberg,42100,Weserstadion,Daniel Schlager
3,1819,2018-09-16,1,Freiburg,1.1,3,3,1,Stuttgart,24000,Schwarzwald-Stadion,Deniz Aytekin
4,1819,2018-09-21,1,Stuttgart,1.4,0,0,0.9,Düsseldorf,54410,Mercedes-Benz Arena,Robert Hartmann
4,1819,2018-09-22,1,Wolfsburg,0.7,1,3,2,Freiburg,23011,Volkswagen Arena,Sascha Stegemann
4,1819,2018-09-22,1,Augsburg,2.2,2,3,1.5,Werder Bremen,28434,WWK Arena,Felix Zwayer
4,1819,2018-09-22,1,Hertha BSC,2.8,4,2,2.2,M'Gladbach,51852,Olympiastadion Berlin,Markus Schmidt
4,1819,2018-09-22,1,Nürnberg,1.2,2,0,0.7,Hannover 96,36736,Max-Morlock-Stadion,Bastian Dankert
4,1819,2018-09-22,1,Hoffenheim,2.1,1,1,1.3,Dortmund,30150,PreZero Arena,Harm Osmers
4,1819,2018-09-22,1,Schalke 04,0.4,0,2,2.4,Bayern Munich,62271,Veltins-Arena,Daniel Siebert
4,1819,2018-09-23,1,Leverkusen,1.3,1,0,0.8,Mainz 05,27473,BayArena,Marco Fritz
4,1819,2018-09-23,1,Eint Frankfurt,1.6,1,1,1.5,RB Leipzig,43800,Commerzbank-Arena,Felix Brych
5,1819,2018-09-25,1,Werder Bremen,2.5,3,1,1,Hertha BSC,39100,Weserstadion,Guido Winkmann
5,1819,2018-09-25,1,Bayern Munich,1.7,1,1,1.3,Augsburg,75000,Allianz Arena,Sören Storks
5,1819,2018-09-25,1,Freiburg,1.5,1,0,0.8,Schalke 04,24000,Schwarzwald-Stadion,Frank Willenborg
5,1819,2018-09-25,1,Hannover 96,1.7,1,3,1.9,Hoffenheim,33500,HDI-Arena,Christian Dingert
5,1819,2018-09-26,1,Düsseldorf,2.2,1,2,1.7,Leverkusen,40046,Merkur Spielarena,Manuel Gräfe
5,1819,2018-09-26,1,Mainz 05,0.4,0,0,1,Wolfsburg,19205,Opel Arena,Tobias Stieler
5,1819,2018-09-26,1,RB Leipzig,3.2,2,0,0.7,Stuttgart,32187,Red Bull Arena,Robert Schröder
5,1819,2018-09-26,1,M'Gladbach,1.6,3,1,1.3,Eint Frankfurt,41257,Stadion im Borussia-Park,Sven Jablonski
5,1819,2018-09-26,1,Dortmund,2.1,7,0,0.1,Nürnberg,75700,Signal Iduna Park,Patrick Ittrich
6,1819,2018-09-28,1,Hertha BSC,1.2,2,0,2,Bayern Munich,74669,Olympiastadion Berlin,Marco Fritz
6,1819,2018-09-29,1,Hoffenheim,1.8,1,2,1.6,RB Leipzig,28115,PreZero Arena,Deniz Aytekin
6,1819,2018-09-29,1,Stuttgart,2.3,2,1,1.5,Werder Bremen,58569,Mercedes-Benz Arena,Tobias Welz
6,1819,2018-09-29,1,Schalke 04,1,1,0,0.9,Mainz 05,61810,Veltins-Arena,Benjamin Cortus
6,1819,2018-09-29,1,Wolfsburg,1.3,2,2,0.7,M'Gladbach,24100,Volkswagen Arena,Felix Zwayer
6,1819,2018-09-29,1,Nürnberg,2.2,3,0,1.1,Düsseldorf,36102,Max-Morlock-Stadion,Harm Osmers
6,1819,2018-09-29,1,Leverkusen,1.1,2,4,2.7,Dortmund,30210,BayArena,Felix Brych
6,1819,2018-09-30,1,Eint Frankfurt,2.1,4,1,0.4,Hannover 96,46300,Commerzbank-Arena,Robert Hartmann
6,1819,2018-09-30,1,Augsburg,3.8,4,1,1.5,Freiburg,26488,WWK Arena,Robert Kampka
7,1819,2018-10-05,1,Werder Bremen,1,2,0,0.4,Wolfsburg,42100,Weserstadion,Martin Petersen
7,1819,2018-10-06,1,Dortmund,1.9,4,3,2.2,Augsburg,81365,Signal Iduna Park,Markus Schmidt
7,1819,2018-10-06,1,Mainz 05,2.1,0,0,1.5,Hertha BSC,22405,Opel Arena,Daniel Schlager
7,1819,2018-10-06,1,Düsseldorf,0.6,0,2,1.6,Schalke 04,52000,Merkur Spielarena,Sven Jablonski
7,1819,2018-10-06,1,Hannover 96,1.7,3,1,0.9,Stuttgart,40800,HDI-Arena,Sascha Stegemann
7,1819,2018-10-06,1,Bayern Munich,1.6,0,3,0.5,M'Gladbach,75000,Allianz Arena,Frank Willenborg
7,1819,2018-10-07,1,Freiburg,0.3,0,0,1.1,Leverkusen,23800,Schwarzwald-Stadion,Bastian Dankert
7,1819,2018-10-07,1,Hoffenheim,2.2,1,2,1,Eint Frankfurt,29785,PreZero Arena,Daniel Siebert
7,1819,2018-10-07,1,RB Leipzig,2.1,6,0,0.2,Nürnberg,37389,Red Bull Arena,Tobias Stieler
8,1819,2018-10-19,1,Eint Frankfurt,3.7,7,1,1,Düsseldorf,51000,Commerzbank-Arena,Deniz Aytekin
8,1819,2018-10-20,1,Nürnberg,1.3,1,3,2.2,Hoffenheim,36472,Max-Morlock-Stadion,Felix Zwayer
8,1819,2018-10-20,1,Stuttgart,1,0,4,1.2,Dortmund,59000,Mercedes-Benz Arena,Manuel Gräfe
8,1819,2018-10-20,1,Augsburg,0.2,0,0,0.9,RB Leipzig,28703,WWK Arena,Tobias Welz
8,1819,2018-10-20,1,Leverkusen,2.2,2,2,0.6,Hannover 96,26435,BayArena,Patrick Ittrich
8,1819,2018-10-20,1,Wolfsburg,1.4,1,3,2.7,Bayern Munich,30000,Volkswagen Arena,Guido Winkmann
8,1819,2018-10-20,1,Schalke 04,1.4,0,2,0.4,Werder Bremen,62271,Veltins-Arena,Christian Dingert
8,1819,2018-10-21,1,Hertha BSC,1.1,1,1,0.7,Freiburg,53716,Olympiastadion Berlin,Benjamin Cortus
8,1819,2018-10-21,1,M'Gladbach,2.6,4,0,1.2,Mainz 05,51123,Stadion im Borussia-Park,Sören Storks
9,1819,2018-10-26,1,Freiburg,1.5,3,1,1.2,M'Gladbach,24000,Schwarzwald-Stadion,Robert Hartmann
9,1819,2018-10-27,1,Hannover 96,0.8,1,2,1.6,Augsburg,37600,HDI-Arena,Robert Kampka
9,1819,2018-10-27,1,Dortmund,3.7,2,2,2.1,Hertha BSC,81000,Signal Iduna Park,Sascha Stegemann
9,1819,2018-10-27,1,Mainz 05,0.3,1,2,2.2,Bayern Munich,33305,Opel Arena,Harm Osmers
9,1819,2018-10-27,1,Düsseldorf,0.6,0,3,2,Wolfsburg,38043,Merkur Spielarena,Daniel Schlager
9,1819,2018-10-27,1,Hoffenheim,2.9,4,0,0.5,Stuttgart,30150,PreZero Arena,Frank Willenborg
9,1819,2018-10-28,1,Nürnberg,1,1,1,1.6,Eint Frankfurt,42154,Max-Morlock-Stadion,Robert Schröder
9,1819,2018-10-28,1,RB Leipzig,0.7,0,0,0.5,Schalke 04,41939,Red Bull Arena,Felix Brych
9,1819,2018-10-28,1,Werder Bremen,1.9,2,6,3.9,Leverkusen,40400,Weserstadion,Marco Fritz
10,1819,2018-11-02,1,Stuttgart,0.9,0,3,3.1,Eint Frankfurt,58016,Mercedes-Benz Arena,Sven Jablonski
10,1819,2018-11-03,1,Bayern Munich,2,1,1,0.3,Freiburg,75000,Allianz Arena,Felix Zwayer
10,1819,2018-11-03,1,Schalke 04,2.9,3,1,1.9,Hannover 96,61959,Veltins-Arena,Markus Schmidt
10,1819,2018-11-03,1,Leverkusen,1.6,1,4,1.6,Hoffenheim,27589,BayArena,Tobias Stieler
10,1819,2018-11-03,1,Augsburg,1.6,2,2,1.4,Nürnberg,30660,WWK Arena,Patrick Ittrich
10,1819,2018-11-03,1,Wolfsburg,0.6,0,1,1.4,Dortmund,30000,Volkswagen Arena,Daniel Siebert
10,1819,2018-11-03,1,Hertha BSC,1.4,0,3,3.7,RB Leipzig,50382,Olympiastadion Berlin,Deniz Aytekin
10,1819,2018-11-04,1,M'Gladbach,3.5,3,0,0.8,Düsseldorf,54022,Stadion im Borussia-Park,Felix Brych
10,1819,2018-11-04,1,Mainz 05,0.8,2,1,1.6,Werder Bremen,25105,Opel Arena,Guido Winkmann
11,1819,2018-11-09,1,Hannover 96,2.1,2,1,3.2,Wolfsburg,35800,HDI-Arena,Marco Fritz
11,1819,2018-11-10,1,Nürnberg,0.5,0,2,1.5,Stuttgart,50000,Max-Morlock-Stadion,Christian Dingert
11,1819,2018-11-10,1,Hoffenheim,2.3,2,1,1.3,Augsburg,27009,PreZero Arena,Robert Schröder
11,1819,2018-11-10,1,Werder Bremen,1.4,1,3,2,M'Gladbach,42100,Weserstadion,Sören Storks
11,1819,2018-11-10,1,Freiburg,1.3,1,3,0.9,Mainz 05,24000,Schwarzwald-Stadion,Sascha Stegemann
11,1819,2018-11-10,1,Düsseldorf,2.7,4,1,0.8,Hertha BSC,38743,Merkur Spielarena,Robert Hartmann
11,1819,2018-11-10,1,Dortmund,2.5,3,2,2.1,Bayern Munich,81365,Signal Iduna Park,Manuel Gräfe
11,1819,2018-11-11,1,RB Leipzig,2.2,3,0,0.4,Leverkusen,36155,Red Bull Arena,Martin Petersen
11,1819,2018-11-11,1,Eint Frankfurt,1.7,3,0,0.8,Schalke 04,50700,Commerzbank-Arena,Benjamin Cortus
12,1819,2018-11-23,1,Leverkusen,2.9,2,0,0.6,Stuttgart,24632,BayArena,Robert Schröder
12,1819,2018-11-24,1,Wolfsburg,1.7,1,0,0.5,RB Leipzig,22832,Volkswagen Arena,Tobias Stieler
12,1819,2018-11-24,1,Augsburg,2.2,1,3,3.5,Eint Frankfurt,30660,WWK Arena,Felix Zwayer
12,1819,2018-11-24,1,Mainz 05,1,1,2,1.2,Dortmund,33305,Opel Arena,Deniz Aytekin
12,1819,2018-11-24,1,Bayern Munich,2.6,3,3,1.5,Düsseldorf,75000,Allianz Arena,Sven Jablonski
12,1819,2018-11-24,1,Hertha BSC,3.3,3,3,1.5,Hoffenheim,44508,Olympiastadion Berlin,Tobias Welz
12,1819,2018-11-24,1,Schalke 04,2.7,5,2,2.1,Nürnberg,62271,Veltins-Arena,Guido Winkmann
12,1819,2018-11-25,1,Freiburg,2.8,1,1,2.4,Werder Bremen,24000,Schwarzwald-Stadion,Bastian Dankert
12,1819,2018-11-25,1,M'Gladbach,1.8,4,1,0.5,Hannover 96,48692,Stadion im Borussia-Park,Daniel Siebert
13,1819,2018-11-30,1,Düsseldorf,1.6,0,1,0.9,Mainz 05,37091,Merkur Spielarena,Manuel Gräfe
13,1819,2018-12-01,1,Werder Bremen,0.5,1,2,2.4,Bayern Munich,42100,Weserstadion,Christian Dingert
13,1819,2018-12-01,1,Hannover 96,1.1,0,2,1.3,Hertha BSC,35800,HDI-Arena,Felix Brych
13,1819,2018-12-01,1,Stuttgart,0.6,1,0,1.1,Augsburg,52739,Mercedes-Benz Arena,Harm Osmers
13,1819,2018-12-01,1,Dortmund,2.5,2,0,0.1,Freiburg,81365,Signal Iduna Park,Frank Willenborg
13,1819,2018-12-01,1,Hoffenheim,2.2,1,1,2.2,Schalke 04,30000,PreZero Arena,Robert Kampka
13,1819,2018-12-02,1,RB Leipzig,2.1,2,0,0.6,M'Gladbach,41939,Red Bull Arena,Markus Schmidt
13,1819,2018-12-02,1,Eint Frankfurt,1.7,1,2,1.1,Wolfsburg,48000,Commerzbank-Arena,Sascha Stegemann
13,1819,2018-12-03,1,Nürnberg,0.7,1,1,1.6,Leverkusen,32238,Max-Morlock-Stadion,Bibiana Steinhaus
14,1819,2018-12-07,1,Werder Bremen,1.9,3,1,1.2,Düsseldorf,41500,Weserstadion,Marco Fritz
14,1819,2018-12-08,1,Freiburg,2,3,0,1,RB Leipzig,23800,Schwarzwald-Stadion,Tobias Welz
14,1819,2018-12-08,1,Schalke 04,1.4,1,2,1.5,Dortmund,61767,Veltins-Arena,Daniel Siebert
14,1819,2018-12-08,1,Bayern Munich,2.1,3,0,0.2,Nürnberg,75000,Allianz Arena,Tobias Stieler
14,1819,2018-12-08,1,Wolfsburg,0.5,2,2,2,Hoffenheim,20602,Volkswagen Arena,Felix Zwayer
14,1819,2018-12-08,1,Leverkusen,1.7,1,0,0.8,Augsburg,25558,BayArena,Bastian Dankert
14,1819,2018-12-08,1,Hertha BSC,0.4,1,0,1.4,Eint Frankfurt,42578,Olympiastadion Berlin,Daniel Schlager
14,1819,2018-12-09,1,Mainz 05,2.8,1,1,1.4,Hannover 96,23305,Opel Arena,Robert Hartmann
14,1819,2018-12-09,1,M'Gladbach,1.2,3,0,0.9,Stuttgart,48590,Stadion im Borussia-Park,Deniz Aytekin
15,1819,2018-12-14,1,Nürnberg,0.8,0,2,0.8,Wolfsburg,29604,Max-Morlock-Stadion,Sven Jablonski
15,1819,2018-12-15,1,Augsburg,1.9,1,1,0.6,Schalke 04,27233,WWK Arena,Manuel Gräfe
15,1819,2018-12-15,1,Stuttgart,1,2,1,1.1,Hertha BSC,47680,Mercedes-Benz Arena,Sascha Stegemann
15,1819,2018-12-15,1,Düsseldorf,2.1,2,0,0.9,Freiburg,39301,Merkur Spielarena,Harm Osmers
15,1819,2018-12-15,1,Hoffenheim,2.8,0,0,0.5,M'Gladbach,30150,PreZero Arena,Benjamin Cortus
15,1819,2018-12-15,1,Hannover 96,0.1,0,4,3.4,Bayern Munich,49000,HDI-Arena,Sören Storks
15,1819,2018-12-15,1,Dortmund,2.3,2,1,0.4,Werder Bremen,81365,Signal Iduna Park,Guido Winkmann
15,1819,2018-12-16,1,RB Leipzig,3.2,4,1,1,Mainz 05,30136,Red Bull Arena,Martin Petersen
15,1819,2018-12-16,1,Eint Frankfurt,3.5,2,1,1.1,Leverkusen,46500,Commerzbank-Arena,Felix Brych
16,1819,2018-12-18,1,M'Gladbach,2.7,2,0,0.9,Nürnberg,42323,Stadion im Borussia-Park,Robert Schröder
16,1819,2018-12-18,1,Wolfsburg,1.2,2,0,0.6,Stuttgart,21780,Volkswagen Arena,Robert Hartmann
16,1819,2018-12-18,1,Düsseldorf,1.6,2,1,0.9,Dortmund,52000,Merkur Spielarena,Tobias Welz
16,1819,2018-12-18,1,Hertha BSC,2,2,2,0.6,Augsburg,27939,Olympiastadion Berlin,Frank Willenborg
16,1819,2018-12-19,1,Schalke 04,1.8,1,2,0.5,Leverkusen,61548,Veltins-Arena,Deniz Aytekin
16,1819,2018-12-19,1,Freiburg,1.9,1,1,1.7,Hannover 96,23500,Schwarzwald-Stadion,Christian Dingert
16,1819,2018-12-19,1,Bayern Munich,1.8,1,0,0.4,RB Leipzig,75000,Allianz Arena,Marco Fritz
16,1819,2018-12-19,1,Werder Bremen,2.5,1,1,1.5,Hoffenheim,40003,Weserstadion,Markus Schmidt
16,1819,2018-12-19,1,Mainz 05,1.5,2,2,1.1,Eint Frankfurt,30805,Opel Arena,Daniel Siebert
17,1819,2018-12-21,1,Dortmund,1.7,2,1,0.6,M'Gladbach,81365,Signal Iduna Park,Felix Zwayer
17,1819,2018-12-22,1,RB Leipzig,1.9,3,2,2,Werder Bremen,40455,Red Bull Arena,Bibiana Steinhaus
17,1819,2018-12-22,1,Hannover 96,0.5,0,1,0.9,Düsseldorf,34200,HDI-Arena,Bastian Dankert
17,1819,2018-12-22,1,Leverkusen,2.5,3,1,1.6,Hertha BSC,27647,BayArena,Tobias Stieler
17,1819,2018-12-22,1,Stuttgart,1.6,1,3,2.2,Schalke 04,54022,Mercedes-Benz Arena,Felix Brych
17,1819,2018-12-22,1,Nürnberg,0.7,0,1,0.4,Freiburg,36190,Max-Morlock-Stadion,Robert Kampka
17,1819,2018-12-22,1,Eint Frankfurt,1.1,0,3,1.9,Bayern Munich,51500,Commerzbank-Arena,Manuel Gräfe
17,1819,2018-12-23,1,Augsburg,0.9,2,3,2.1,Wolfsburg,28152,WWK Arena,Sören Storks
17,1819,2018-12-23,1,Hoffenheim,3.1,1,1,1.3,Mainz 05,28216,PreZero Arena,Sascha Stegemann
18,1819,2019-01-18,1,Hoffenheim,1,1,3,2.7,Bayern Munich,30150,PreZero Arena,Tobias Welz
18,1819,2019-01-19,1,Stuttgart,2.8,2,3,1.7,Mainz 05,51881,Mercedes-Benz Arena,Tobias Stieler
18,1819,2019-01-19,1,Eint Frankfurt,2.7,3,1,1.6,Freiburg,49200,Commerzbank-Arena,Sven Jablonski
18,1819,2019-01-19,1,Leverkusen,1.8,0,1,0.7,M'Gladbach,29628,BayArena,Daniel Siebert
18,1819,2019-01-19,1,Hannover 96,0.9,0,1,2.7,Werder Bremen,44300,HDI-Arena,Marco Fritz
18,1819,2019-01-19,1,Augsburg,0.8,1,2,1.1,Düsseldorf,27568,WWK Arena,Christian Dingert
18,1819,2019-01-19,1,RB Leipzig,1.3,0,1,1,Dortmund,41939,Red Bull Arena,Deniz Aytekin
18,1819,2019-01-20,1,Nürnberg,1,1,3,2.3,Hertha BSC,36112,Max-Morlock-Stadion,Guido Winkmann
18,1819,2019-01-20,1,Schalke 04,2.5,2,1,1.4,Wolfsburg,58827,Veltins-Arena,Manuel Gräfe
19,1819,2019-01-25,1,Hertha BSC,0.9,2,2,1,Schalke 04,43027,Olympiastadion Berlin,Felix Brych
19,1819,2019-01-26,1,Freiburg,2,2,4,2.5,Hoffenheim,23900,Schwarzwald-Stadion,Bibiana Steinhaus
19,1819,2019-01-26,1,Dortmund,2.2,5,1,0.8,Hannover 96,81365,Signal Iduna Park,Manuel Gräfe
19,1819,2019-01-26,1,M'Gladbach,1.9,2,0,0.6,Augsburg,42509,Stadion im Borussia-Park,Harm Osmers
19,1819,2019-01-26,1,Wolfsburg,0.7,0,3,3.1,Leverkusen,21736,Volkswagen Arena,Felix Zwayer
19,1819,2019-01-26,1,Mainz 05,3,2,1,0.5,Nürnberg,22005,Opel Arena,Bastian Dankert
19,1819,2019-01-26,1,Werder Bremen,3.5,2,2,1.6,Eint Frankfurt,42100,Weserstadion,Markus Schmidt
19,1819,2019-01-27,1,Bayern Munich,2.2,4,1,0.9,Stuttgart,75000,Allianz Arena,Frank Willenborg
19,1819,2019-01-27,1,Düsseldorf,0.3,0,4,2.4,RB Leipzig,34394,Merkur Spielarena,Robert Hartmann
20,1819,2019-02-01,1,Hannover 96,0.1,0,3,3,RB Leipzig,32400,HDI-Arena,Daniel Schlager
20,1819,2019-02-02,1,Hertha BSC,1.4,0,1,1.2,Wolfsburg,39259,Olympiastadion Berlin,Bastian Dankert
20,1819,2019-02-02,1,Hoffenheim,1.8,1,1,0.9,Düsseldorf,24747,PreZero Arena,Benjamin Cortus
20,1819,2019-02-02,1,Eint Frankfurt,1,1,1,1.5,Dortmund,51500,Commerzbank-Arena,Felix Zwayer
20,1819,2019-02-02,1,Nürnberg,1.3,1,1,0.9,Werder Bremen,35753,Max-Morlock-Stadion,Robert Kampka
20,1819,2019-02-02,1,Leverkusen,1.7,3,1,1.6,Bayern Munich,30210,BayArena,Tobias Stieler
20,1819,2019-02-02,1,Schalke 04,0.4,0,2,1.6,M'Gladbach,62271,Veltins-Arena,Marco Fritz
20,1819,2019-02-03,1,Augsburg,3.3,3,0,0.3,Mainz 05,25733,WWK Arena,Sören Storks
20,1819,2019-02-03,1,Stuttgart,1.3,2,2,2.1,Freiburg,51009,Mercedes-Benz Arena,Deniz Aytekin
21,1819,2019-02-08,1,Mainz 05,1.7,1,5,2.7,Leverkusen,21905,Opel Arena,Robert Schröder
21,1819,2019-02-09,1,M'Gladbach,1.1,0,3,1.6,Hertha BSC,48232,Stadion im Borussia-Park,Martin Petersen
21,1819,2019-02-09,1,RB Leipzig,1.7,0,0,0.4,Eint Frankfurt,38330,Red Bull Arena,Guido Winkmann
21,1819,2019-02-09,1,Freiburg,1,3,3,1.7,Wolfsburg,23600,Schwarzwald-Stadion,Felix Brych
21,1819,2019-02-09,1,Hannover 96,1.7,2,0,1.1,Nürnberg,33700,HDI-Arena,Tobias Welz
21,1819,2019-02-09,1,Dortmund,2.5,3,3,1.3,Hoffenheim,81365,Signal Iduna Park,Marco Fritz
21,1819,2019-02-09,1,Bayern Munich,2.2,3,1,0.8,Schalke 04,75000,Allianz Arena,Daniel Siebert
21,1819,2019-02-10,1,Werder Bremen,1.2,4,0,1.2,Augsburg,40138,Weserstadion,Manuel Gräfe
21,1819,2019-02-10,1,Düsseldorf,1.9,3,0,1.2,Stuttgart,40211,Merkur Spielarena,Christian Dingert
22,1819,2019-02-15,1,Augsburg,0.4,2,3,1.8,Bayern Munich,30660,WWK Arena,Bibiana Steinhaus
22,1819,2019-02-16,1,Schalke 04,0.4,0,0,1,Freiburg,58271,Veltins-Arena,Frank Willenborg
22,1819,2019-02-16,1,Wolfsburg,2,3,0,0.8,Mainz 05,20334,Volkswagen Arena,Benjamin Cortus
22,1819,2019-02-16,1,Stuttgart,1.2,1,3,1.2,RB Leipzig,46072,Mercedes-Benz Arena,Felix Zwayer
22,1819,2019-02-16,1,Hoffenheim,3.4,3,0,0.4,Hannover 96,23404,PreZero Arena,Daniel Siebert
22,1819,2019-02-16,1,Hertha BSC,1.1,1,1,0.5,Werder Bremen,49627,Olympiastadion Berlin,Sören Storks
22,1819,2019-02-17,1,Eint Frankfurt,1,1,1,1.2,M'Gladbach,51500,Commerzbank-Arena,Deniz Aytekin
22,1819,2019-02-17,1,Leverkusen,1.8,2,0,0.2,Düsseldorf,27717,BayArena,Markus Schmidt
22,1819,2019-02-18,1,Nürnberg,0.3,0,0,1.4,Dortmund,50000,Max-Morlock-Stadion,Harm Osmers
23,1819,2019-02-22,1,Werder Bremen,1,1,1,0.9,Stuttgart,41000,Weserstadion,Robert Hartmann
23,1819,2019-02-23,1,Bayern Munich,0.7,1,0,0.4,Hertha BSC,75000,Allianz Arena,Harm Osmers
23,1819,2019-02-23,1,Mainz 05,2.8,3,0,0.8,Schalke 04,26005,Opel Arena,Sven Jablonski
23,1819,2019-02-23,1,M'Gladbach,1.2,0,3,0.9,Wolfsburg,48041,Stadion im Borussia-Park,Robert Kampka
23,1819,2019-02-23,1,Freiburg,2.1,5,1,1.3,Augsburg,23600,Schwarzwald-Stadion,Tobias Welz
23,1819,2019-02-23,1,Düsseldorf,1.6,2,1,0.1,Nürnberg,41816,Merkur Spielarena,Sascha Stegemann
23,1819,2019-02-24,1,Hannover 96,0.6,0,3,2,Eint Frankfurt,39100,HDI-Arena,Marco Fritz
23,1819,2019-02-24,1,Dortmund,1.2,3,2,0.9,Leverkusen,81029,Signal Iduna Park,Christian Dingert
23,1819,2019-02-25,1,RB Leipzig,1.3,1,1,1.2,Hoffenheim,33569,Red Bull Arena,Felix Brych
24,1819,2019-03-01,1,Augsburg,0.9,2,1,2.2,Dortmund,30660,WWK Arena,Tobias Stieler
24,1819,2019-03-02,1,Leverkusen,2.2,2,0,0.3,Freiburg,26607,BayArena,Guido Winkmann
24,1819,2019-03-02,1,Nürnberg,1.1,0,1,1.3,RB Leipzig,34532,Max-Morlock-Stadion,Daniel Schlager
24,1819,2019-03-02,1,Hertha BSC,1.4,2,1,0.6,Mainz 05,33981,Olympiastadion Berlin,Deniz Aytekin
24,1819,2019-03-02,1,Eint Frankfurt,1.6,3,2,2,Hoffenheim,49500,Commerzbank-Arena,Manuel Gräfe
24,1819,2019-03-02,1,Schalke 04,0.7,0,4,2.1,Düsseldorf,60322,Veltins-Arena,Felix Brych
24,1819,2019-03-02,1,M'Gladbach,0.7,1,5,4.7,Bayern Munich,54022,Stadion im Borussia-Park,Felix Zwayer
24,1819,2019-03-03,1,Stuttgart,2,5,1,0.1,Hannover 96,55781,Mercedes-Benz Arena,Bastian Dankert
24,1819,2019-03-03,1,Wolfsburg,1.2,1,1,1.3,Werder Bremen,28101,Volkswagen Arena,Daniel Siebert
25,1819,2019-03-08,1,Werder Bremen,2.5,4,2,1.1,Schalke 04,42100,Weserstadion,Martin Petersen
25,1819,2019-03-09,1,RB Leipzig,1.5,0,0,0.2,Augsburg,38590,Red Bull Arena,Sven Jablonski
25,1819,2019-03-09,1,Dortmund,2,3,1,0.7,Stuttgart,81365,Signal Iduna Park,Benjamin Cortus
25,1819,2019-03-09,1,Freiburg,1.4,2,1,1.2,Hertha BSC,24000,Schwarzwald-Stadion,Robert Schröder
25,1819,2019-03-09,1,Bayern Munich,3.3,6,0,0.1,Wolfsburg,75000,Allianz Arena,Sascha Stegemann
25,1819,2019-03-09,1,Mainz 05,0.6,0,1,1.7,M'Gladbach,30405,Opel Arena,Markus Schmidt
25,1819,2019-03-10,1,Hoffenheim,2.2,2,1,0.6,Nürnberg,29015,PreZero Arena,Christian Dingert
25,1819,2019-03-10,1,Hannover 96,1.2,2,3,2.4,Leverkusen,33800,HDI-Arena,Sören Storks
25,1819,2019-03-11,1,Düsseldorf,0.6,0,3,2.3,Eint Frankfurt,41419,Merkur Spielarena,Robert Hartmann
